SETTLEMENTDATE,REGIONID,RRP
2024/10/27 04:05:00,NSW1,69.81
2024/10/27 04:10:00,NSW1,70
2024/10/27 04:15:00,NSW1,70
2024/10/27 04:20:00,NSW1,70
2024/10/27 04:25:00,NSW1,70
2024/10/27 04:30:00,NSW1,70
2024/10/27 04:35:00,NSW1,70
2024/10/27 04:40:00,NSW1,75.80007
2024/10/27 04:45:00,NSW1,70
2024/10/27 04:50:00,NSW1,70
2024/10/27 04:55:00,NSW1,70
2024/10/27 05:00:00,NSW1,70
2024/10/27 05:05:00,NSW1,70
2024/10/27 05:10:00,NSW1,75.80005
2024/10/27 05:15:00,NSW1,70
2024/10/27 05:20:00,NSW1,70
2024/10/27 05:25:00,NSW1,69.81
2024/10/27 05:30:00,NSW1,70
2024/10/27 05:35:00,NSW1,70
2024/10/27 05:40:00,NSW1,70
2024/10/27 05:45:00,NSW1,69.81
2024/10/27 05:50:00,NSW1,69.5
2024/10/27 05:55:00,NSW1,57.00002
2024/10/27 06:00:00,NSW1,69.5
2024/10/27 06:05:00,NSW1,70
2024/10/27 06:10:00,NSW1,70
2024/10/27 06:15:00,NSW1,70
2024/10/27 06:20:00,NSW1,57.00002
2024/10/27 06:25:00,NSW1,54.41013
2024/10/27 06:30:00,NSW1,54.01013
2024/10/27 06:35:00,NSW1,56.98004
2024/10/27 06:40:00,NSW1,36.51
2024/10/27 06:45:00,NSW1,56.97999
2024/10/27 06:50:00,NSW1,39.37461
2024/10/27 06:55:00,NSW1,57.00002
2024/10/27 07:00:00,NSW1,70
2024/10/27 07:05:00,NSW1,69.53567
2024/10/27 07:10:00,NSW1,81.86068
2024/10/27 07:15:00,NSW1,91.63565
2024/10/27 07:20:00,NSW1,75.80005
2024/10/27 07:25:00,NSW1,69.81
2024/10/27 07:30:00,NSW1,57.00013
2024/10/27 07:35:00,NSW1,71.94901
2024/10/27 07:40:00,NSW1,69.81
2024/10/27 07:45:00,NSW1,56.9998
2024/10/27 07:50:00,NSW1,56.98
2024/10/27 07:55:00,NSW1,36.27333
2024/10/27 08:00:00,NSW1,52.74291
2024/10/27 08:05:00,NSW1,3.89485
2024/10/27 08:10:00,NSW1,52.56
2024/10/27 08:15:00,NSW1,-35.34657
2024/10/27 08:20:00,NSW1,37.00008
2024/10/27 08:25:00,NSW1,54.37
2024/10/27 08:30:00,NSW1,73.90406
2024/10/27 08:35:00,NSW1,-6.63796
2024/10/27 08:40:00,NSW1,37
2024/10/27 08:45:00,NSW1,57.00004
2024/10/27 08:50:00,NSW1,130
2024/10/27 08:55:00,NSW1,-41.73742
2024/10/27 09:00:00,NSW1,-41.84399
2024/10/27 09:05:00,NSW1,-40.00972
2024/10/27 09:10:00,NSW1,56.55623
2024/10/27 09:15:00,NSW1,35.88
2024/10/27 09:20:00,NSW1,37
2024/10/27 09:25:00,NSW1,-45.25915
2024/10/27 09:30:00,NSW1,35.88
2024/10/27 09:35:00,NSW1,-40.00972
2024/10/27 09:40:00,NSW1,52.15
2024/10/27 09:45:00,NSW1,52.14
2024/10/27 09:50:00,NSW1,-44.18344
2024/10/27 09:55:00,NSW1,35.88
2024/10/27 10:00:00,NSW1,37
2024/10/27 10:05:00,NSW1,-43.2981
2024/10/27 10:10:00,NSW1,35.88
2024/10/27 10:15:00,NSW1,35.88
2024/10/27 10:20:00,NSW1,-44.08269
2024/10/27 10:25:00,NSW1,10.02034
2024/10/27 10:30:00,NSW1,10.02034
2024/10/27 10:35:00,NSW1,-42.74829
2024/10/27 10:40:00,NSW1,-41.27
2024/10/27 10:45:00,NSW1,-42.75294
2024/10/27 10:50:00,NSW1,-41.96639
2024/10/27 10:55:00,NSW1,-41.27
2024/10/27 11:00:00,NSW1,-37.43832
2024/10/27 11:05:00,NSW1,-41.4168
2024/10/27 11:10:00,NSW1,-36
2024/10/27 11:15:00,NSW1,-41.61328
2024/10/27 11:20:00,NSW1,-41.27
2024/10/27 11:25:00,NSW1,-38.80379
2024/10/27 11:30:00,NSW1,-36
2024/10/27 11:35:00,NSW1,10.02003
2024/10/27 11:40:00,NSW1,72.53153
2024/10/27 11:45:00,NSW1,130
2024/10/27 11:50:00,NSW1,57.02
2024/10/27 11:55:00,NSW1,37
2024/10/27 12:00:00,NSW1,19.90274
2024/10/27 12:05:00,NSW1,-47.20677
2024/10/27 12:10:00,NSW1,10.02004
2024/10/27 12:15:00,NSW1,10.02004
2024/10/27 12:20:00,NSW1,57.02
2024/10/27 12:25:00,NSW1,10.02004
2024/10/27 12:30:00,NSW1,37.0001
2024/10/27 12:35:00,NSW1,35.88
2024/10/27 12:40:00,NSW1,37
2024/10/27 12:45:00,NSW1,37
2024/10/27 12:50:00,NSW1,35.88
2024/10/27 12:55:00,NSW1,37
2024/10/27 13:00:00,NSW1,35.88
2024/10/27 13:05:00,NSW1,10.02004
2024/10/27 13:10:00,NSW1,10.02004
2024/10/27 13:15:00,NSW1,10.02004
2024/10/27 13:20:00,NSW1,-35
2024/10/27 13:25:00,NSW1,45
2024/10/27 13:30:00,NSW1,-35
2024/10/27 13:35:00,NSW1,57.02
2024/10/27 13:40:00,NSW1,10.02004
2024/10/27 13:45:00,NSW1,10.02004
2024/10/27 13:50:00,NSW1,55.92
2024/10/27 13:55:00,NSW1,45
2024/10/27 14:00:00,NSW1,37
2024/10/27 14:05:00,NSW1,45.52863
2024/10/27 14:10:00,NSW1,57.02
2024/10/27 14:15:00,NSW1,10.02004
2024/10/27 14:20:00,NSW1,37
2024/10/27 14:25:00,NSW1,37
2024/10/27 14:30:00,NSW1,41
2024/10/27 14:35:00,NSW1,1.75244
2024/10/27 14:40:00,NSW1,37.00012
2024/10/27 14:45:00,NSW1,42.34212
2024/10/27 14:50:00,NSW1,37.00012
2024/10/27 14:55:00,NSW1,66.61
2024/10/27 15:00:00,NSW1,104.89006
2024/10/27 15:05:00,NSW1,-30.98039
2024/10/27 15:10:00,NSW1,-24.99759
2024/10/27 15:15:00,NSW1,-25.38125
2024/10/27 15:20:00,NSW1,45.39491
2024/10/27 15:25:00,NSW1,-14.62038
2024/10/27 15:30:00,NSW1,109.08883
2024/10/27 15:35:00,NSW1,97.6929
2024/10/27 15:40:00,NSW1,57.58378
2024/10/27 15:45:00,NSW1,77.84921
2024/10/27 15:50:00,NSW1,78.79292
2024/10/27 15:55:00,NSW1,-43.44134
2024/10/27 16:00:00,NSW1,57
2024/10/27 16:05:00,NSW1,45.03811
2024/10/27 16:10:00,NSW1,-30.72662
2024/10/27 16:15:00,NSW1,-31.08424
2024/10/27 16:20:00,NSW1,-31.19396
2024/10/27 16:25:00,NSW1,75.80005
2024/10/27 16:30:00,NSW1,37.40825
2024/10/27 16:35:00,NSW1,70
2024/10/27 16:40:00,NSW1,10.02021
2024/10/27 16:45:00,NSW1,45
2024/10/27 16:50:00,NSW1,37.00008
2024/10/27 16:55:00,NSW1,69.5
2024/10/27 17:00:00,NSW1,94.26676
2024/10/27 17:05:00,NSW1,70
2024/10/27 17:10:00,NSW1,69.5
2024/10/27 17:15:00,NSW1,70
2024/10/27 17:20:00,NSW1,100.01
2024/10/27 17:25:00,NSW1,100.01
2024/10/27 17:30:00,NSW1,231.94711
2024/10/27 17:35:00,NSW1,54.00991
2024/10/27 17:40:00,NSW1,199.99
2024/10/27 17:45:00,NSW1,76.00004
2024/10/27 17:50:00,NSW1,69.8101
2024/10/27 17:55:00,NSW1,69.8101
2024/10/27 18:00:00,NSW1,57.00009
2024/10/27 18:05:00,NSW1,57.00014
2024/10/27 18:10:00,NSW1,76.00005
2024/10/27 18:15:00,NSW1,76.00005
2024/10/27 18:20:00,NSW1,56.00014
2024/10/27 18:25:00,NSW1,186.36973
2024/10/27 18:30:00,NSW1,69.8101
2024/10/27 18:35:00,NSW1,69.8101
2024/10/27 18:40:00,NSW1,69.8101
2024/10/27 18:45:00,NSW1,69.8101
2024/10/27 18:50:00,NSW1,54.40013
2024/10/27 18:55:00,NSW1,149.96
2024/10/27 19:00:00,NSW1,149.96
2024/10/27 19:05:00,NSW1,69.8101
2024/10/27 19:10:00,NSW1,69.8101
2024/10/27 19:15:00,NSW1,12.70365
2024/10/27 19:20:00,NSW1,181.37227
2024/10/27 19:25:00,NSW1,69.8101
2024/10/27 19:30:00,NSW1,124.38809
2024/10/27 19:35:00,NSW1,35.5
2024/10/27 19:40:00,NSW1,69.8101
2024/10/27 19:45:00,NSW1,69.8101
2024/10/27 19:50:00,NSW1,100.68
2024/10/27 19:55:00,NSW1,100.68
2024/10/27 20:00:00,NSW1,56.99977
2024/10/27 20:05:00,NSW1,100.68
2024/10/27 20:10:00,NSW1,100.01
2024/10/27 20:15:00,NSW1,130
2024/10/27 20:20:00,NSW1,130
2024/10/27 20:25:00,NSW1,109.99649
2024/10/27 20:30:00,NSW1,130
2024/10/27 20:35:00,NSW1,130
2024/10/27 20:40:00,NSW1,130
2024/10/27 20:45:00,NSW1,126.61938
